x RMSE, y RMSE, vx RMSE, vy RMSE, NIS, Sensor
0.0574253, 0.0872452, 0.603911, 0.357224, 3.6241,0
0.0576344, 0.0869471, 0.601903, 0.355922, 2.30551,1
0.05756, 0.0866806, 0.599668, 0.35457, 1.05294,0
0.0575904, 0.0865458, 0.597481, 0.353229, 2.07146,1
0.0573741, 0.0868594, 0.595204, 0.352213, 1.0933,0
0.0572422, 0.0871377, 0.593065, 0.351099, 6.59931,1
0.0570268, 0.0871223, 0.590834, 0.349791, 0.606605,0
0.0568138, 0.0873106, 0.588633, 0.34858, 1.74043,1
0.0566666, 0.0877841, 0.586541, 0.347513, 0.220644,0
0.0566273, 0.0880437, 0.584527, 0.346296, 3.0958,1
0.056445, 0.0885658, 0.58244, 0.345138, 2.72007,0
0.0562654, 0.0888898, 0.580348, 0.343917, 3.26616,1
0.0561064, 0.08885, 0.578296, 0.342706, 0.745211,0
0.0560283, 0.0892309, 0.576287, 0.341533, 10.1238,1
0.0559683, 0.0893964, 0.574315, 0.340327, 0.703728,0
0.0557939, 0.0895572, 0.572298, 0.339127, 3.31544,1
0.0557715, 0.0893807, 0.570328, 0.338078, 1.08755,0
0.0558072, 0.0890795, 0.568392, 0.337358, 5.52257,1
0.0556279, 0.0887719, 0.566433, 0.33669, 2.05439,0
0.0554769, 0.0884716, 0.56449, 0.335862, 2.12238,1
0.0552982, 0.0881787, 0.562568, 0.335196, 0.61802,0
0.0551743, 0.0879027, 0.56069, 0.334503, 1.17548,1
0.0551219, 0.0876185, 0.558846, 0.333705, 0.665191,0
0.0551551, 0.0873427, 0.557089, 0.332837, 0.321551,1
0.0556681, 0.0870704, 0.555558, 0.331934, 1.38125,0
0.0564922, 0.0867836, 0.554351, 0.330853, 2.34536,1
0.0572555, 0.0865206, 0.552948, 0.32978, 0.286568,0
0.0579508, 0.0862444, 0.551434, 0.328713, 1.83334,1
0.0579385, 0.0859912, 0.549654, 0.327702, 2.24825,0
0.0580879, 0.0857253, 0.547937, 0.326694, 2.51986,1
0.0582636, 0.0854559, 0.546235, 0.325696, 0.120815,0
0.058413, 0.0851919, 0.544555, 0.324754, 0.979058,1
0.0584753, 0.0850824, 0.542844, 0.324121, 1.96498,0
0.0585688, 0.0851154, 0.541147, 0.323719, 1.09008,1
0.0584335, 0.0852747, 0.539518, 0.323488, 0.65016,0
0.0583532, 0.0857647, 0.537876, 0.323666, 4.18307,1
0.0581747, 0.0866564, 0.536445, 0.324237, 0.434168,0
0.0580016, 0.0874606, 0.535395, 0.324265, 5.36047,1
0.0579738, 0.0876756, 0.533849, 0.323719, 3.72968,0
0.0578987, 0.0878588, 0.53235, 0.32311, 1.00627,1
0.057757, 0.088147, 0.53126, 0.322575, 1.37082,0
0.0577421, 0.0882968, 0.530902, 0.321729, 1.82389,1
0.0582238, 0.0885024, 0.531073, 0.320898, 0.399253,0
0.0591489, 0.0887088, 0.531183, 0.320093, 1.38943,1
0.0591122, 0.0886763, 0.529986, 0.319181, 3.55902,0
0.0593258, 0.0887909, 0.528963, 0.318348, 4.20177,1
0.059172, 0.088986, 0.527505, 0.317553, 3.20048,0
0.0590355, 0.0892511, 0.526061, 0.316815, 0.0487625,1
0.0588699, 0.0895371, 0.524582, 0.316084, 0.150399,0
0.0587278, 0.0898475, 0.5231, 0.315497, 3.30064,1
0.0589395, 0.0899203, 0.521916, 0.314729, 2.92443,0
0.0592356, 0.0900018, 0.520628, 0.31391, 0.307255,1
0.0599765, 0.0900129, 0.519529, 0.313066, 0.267924,0
0.0607163, 0.0899628, 0.518277, 0.312196, 0.642774,1
0.0616758, 0.089857, 0.517076, 0.311333, 0.154239,0
0.0625259, 0.0896866, 0.515807, 0.310489, 3.0439,1
0.0640143, 0.0894675, 0.51475, 0.30968, 0.390342,0
0.0660105, 0.0893004, 0.514069, 0.308858, 1.55088,1
0.0668085, 0.0891484, 0.512776, 0.308047, 2.2174,0
0.0674677, 0.0890696, 0.51144, 0.307311, 1.83701,1
0.0680109, 0.0888871, 0.510086, 0.306512, 2.02993,0
0.0682173, 0.0886615, 0.508793, 0.305723, 4.58664,1
0.0680981, 0.0884464, 0.507776, 0.30493, 0.634257,0
0.06803, 0.0882398, 0.506544, 0.304147, 1.66852,1
0.0678722, 0.088012, 0.505446, 0.303353, 1.04153,0
0.0676984, 0.0877825, 0.504703, 0.302592, 1.05374,1
0.0678506, 0.0875561, 0.504696, 0.301853, 1.36929,0
0.0679214, 0.0873306, 0.503778, 0.30135, 7.0977,1
0.0677502, 0.087112, 0.5025, 0.300787, 2.75232,0
0.0676069, 0.0869232, 0.501523, 0.30002, 3.64454,1
0.0674648, 0.0867419, 0.500301, 0.299257, 1.19682,0
0.0673586, 0.0865476, 0.499036, 0.298634, 2.00732,1
